# frame samples traceMs rays shadowRays hitHash rayHash width height deviceMiB availableMiB spilledMiB gpuSampleMs subdivideMs publishMs
1 4 1564.00 1555518 293538 2507951362 2019285096 631 464 8976 3863 0 139.550 8.04e+03 5.29e+03
2 4 1531.17 1555235 293066 8956818525054025235 6618154880659888517 631 464 8976 3863 0 136.210 0 0
3 4 1555.26 1554713 293193 12869644052716975230 5824166717441838445 631 464 8976 3863 0 143.826 0 0
4 4 1463.48 1554930 293305 7343202370938780646 2133022557252523230 631 464 8976 3863 0 131.827 0 0
5 4 1002.52 1582839 316997 14300179986993097950 4272474417506855336 631 464 8976 3863 0 120.603 0 0
6 4 1406.91 1602881 335711 1696298688964159159 3523424692383166062 631 464 8976 3863 0 109.008 0 0
7 4 1444.86 1602675 335503 12370926991868503461 7856033750234228620 631 464 8976 3863 0 125.772 0 0
8 4 1202.00 1586070 325080 6227610197320593440 8250966883890027044 631 464 8976 3863 0 102.172 0 0
9 4 754.62 1578555 316950 13835777622751332168 6384304868266042264 631 464 8976 3863 0 115.110 0 0
10 4 658.58 1564877 305487 12150521162254772689 6369987306522850755 631 464 8976 3863 0 104.903 0 0
11 4 690.93 1564837 305886 10854577879497924178 4704604597407512139 631 464 8976 3863 0 111.428 0 0
12 4 668.62 1564538 305574 4661647888401508463 1577806386267949289 631 464 8976 3863 0 105.520 0 0
13 4 708.07 1564923 306186 920149810107584425 936451524248414474 631 464 8976 3863 0 115.500 0 0
14 4 682.73 1564897 305630 5610132794317415218 5214532193284237009 631 464 8976 3863 0 106.238 0 0
15 4 883.29 1304732 98652 6528318309110091644 9434943231844624542 631 464 8976 5576 0 158.580 5.93e+03 2.5e+03
16 4 848.15 1304913 98595 2446971292534986182 10403648498125843859 631 464 8976 5576 0 152.269 0 0
17 4 914.43 1304731 98646 15298086138330342992 2760919709210940906 631 464 8976 5576 0 158.145 0 0
18 4 727.87 1299249 94614 4753116401364675018 18433037216006133443 631 464 8976 5576 0 148.978 0 0
19 4 442.78 1299425 94733 9400309869088059220 5122778836941710580 631 464 8976 5576 0 133.299 0 0
20 4 17.60 1291772 89444 4887655870486265769 11098940511687573655 631 464 8976 5576 0 3.042 0 0
21 4 29.96 1291770 89209 17418761682535435415 1081207996136684878 631 464 8976 5576 0 5.441 0 0
22 4 17.78 1291949 89128 8649529053278067991 9876693757847656017 631 464 8976 5576 0 2.612 0 0
23 4 29.46 1292392 89579 516413511455316818 13534892540429370110 631 464 8976 5576 0 5.393 0 0
24 4 18.00 1291400 88951 12618097012379016964 10121295624828838083 631 464 8976 5576 0 2.936 0 0
25 4 29.24 1290956 88462 15151900208021238340 5764387015050530005 631 464 8976 5576 0 5.632 0 0
26 4 17.74 1290479 87988 10629121877015811025 16480937555795452745 631 464 8976 5576 0 2.589 0 0
27 4 29.79 1290700 88310 9411516911758842843 4170905499700344867 631 464 8976 5576 0 6.053 0 0
28 4 17.24 1290965 88256 16674767397362669090 13244101678643266934 631 464 8976 5576 0 2.572 0 0
29 4 30.69 1291368 88562 5184605818897326858 18994411763260619 631 464 8976 5576 0 5.474 0 0
30 4 17.76 1291555 88784 1081636356095367896 5802701023115649199 631 464 8976 5576 0 2.762 0 0
31 4 30.43 1292774 89629 13259893380798324589 8113104850911238895 631 464 8976 5576 0 5.483 0 0
32 4 17.22 1292881 89759 13362862364381019157 7032994707249490812 631 464 8976 5576 0 2.619 0 0
33 4 29.25 1292617 89563 8893056320151546487 12103328750133159313 631 464 8976 5576 0 5.551 0 0
34 4 17.18 1292915 89964 16346517988841331663 16103286606333647104 631 464 8976 5576 0 2.583 0 0
35 4 29.73 1293109 89916 16492875551013416519 10342086168979784845 631 464 8976 5576 0 5.725 0 0
36 4 17.49 1292890 89720 14843404594851455364 7404884858366390929 631 464 8976 5576 0 2.620 0 0
37 4 31.94 1293011 89970 10149695577722784397 3965731159202594016 631 464 8976 5576 0 5.715 0 0
38 4 22.76 1292845 89960 15932372481508445005 8968515036806169081 631 464 8976 5576 0 3.741 0 0
39 4 35.57 1291749 88875 4193098639220899664 1313419755050719329 631 464 8976 5576 0 6.783 0 0
40 4 22.43 1290949 88583 15027845025006763064 13852864828920740480 631 464 8976 5576 0 3.699 0 0
41 4 36.97 1285758 84615 9720322433554580446 18318850347665528238 631 464 8976 5576 0 6.941 0 0
42 4 23.15 1280130 80579 9225101007583863211 2378694664458236375 631 464 8976 5576 0 3.838 0 0
43 4 30.78 1271839 74450 12452923591732098641 4484742553590437369 631 464 8976 5576 0 6.720 0 0
44 4 17.32 1251908 59718 17167054701323801426 10934648878428344735 631 464 8976 5576 0 2.561 0 0
45 4 23.46 1221425 36574 17117168122615173084 3676333672266218216 631 464 8976 5576 0 3.933 0 0
46 4 17.57 1226359 39232 14096463474567653741 17125193377557718233 631 464 8976 5576 0 2.557 0 0
47 4 24.56 1227023 39407 5312367481979723599 659822449865409314 631 464 8976 5576 0 4.159 0 0
48 4 17.16 1224841 37970 199784834977705315 11349307113462439624 631 464 8976 5576 0 2.505 0 0
49 4 23.09 1216481 32302 1242699133677583121 6920789621940624635 631 464 8976 5576 0 3.823 0 0
50 4 17.16 1212358 29417 15543089911049738408 3372070838603910429 631 464 8976 5576 0 2.467 0 0
51 4 23.04 1218256 33395 11165857931386606492 17668203359703301141 631 464 8976 5576 0 3.926 0 0
52 4 17.50 1236772 46200 1534731059503315452 2202135197660594107 631 464 8976 5576 0 2.552 0 0
53 4 26.01 1245025 52132 11900226289462094210 16117966644995490317 631 464 8976 5576 0 4.736 0 0
54 4 17.57 1252268 57178 14332024859060185025 11713440568025006819 631 464 8976 5576 0 2.918 0 0
55 4 26.85 1259856 63098 5891661175601240192 18439599696248888268 631 464 8976 5576 0 4.927 0 0
56 4 17.67 1262473 65203 11175987455232729218 2718670649474811401 631 464 8976 5576 0 2.573 0 0
57 4 27.92 1265310 67939 16861430016364718081 6211151004270840888 631 464 8976 5576 0 5.280 0 0
58 4 16.85 1269683 71903 2656951079532125078 6305633961649737912 631 464 8976 5576 0 2.550 0 0
59 4 27.55 1279510 80359 13974863624316952147 8621987067783354567 631 464 8976 5576 0 5.139 0 0
60 4 17.28 1283119 82949 8978519129491690666 10277814964875600681 631 464 8976 5576 0 2.610 0 0
61 4 28.45 1288481 86808 2355811909805458450 17880238867055829709 631 464 8976 5576 0 5.846 0 0
62 4 17.88 1291939 89167 2624340632104986213 11744375697059203123 631 464 8976 5576 0 2.771 0 0
63 4 28.73 1288567 86563 2350405930635590576 16477551040783957944 631 464 8976 5576 0 5.185 0 0
64 4 17.72 1280303 80640 17185900339766654138 15856285728835178692 631 464 8976 5576 0 2.563 0 0
65 4 28.03 1263405 68366 5976959871407852810 4243392699204191003 631 464 8976 5576 0 5.151 0 0
66 4 17.41 1249399 57889 17977475870146175692 11380426055685193877 631 464 8976 5576 0 2.546 0 0
67 4 24.89 1235029 47173 2827535979113001247 1515896332893176242 631 464 8976 5576 0 4.604 0 0
68 4 16.75 1229471 43269 6345944118422134552 2988714710142041096 631 464 8976 5576 0 2.509 0 0
69 4 24.65 1226980 41245 12488022998453721311 8835711049622521792 631 464 8976 5576 0 4.402 0 0
70 4 16.66 1229217 42727 4198446044043849881 1893948278684528066 631 464 8976 5576 0 2.495 0 0
71 4 24.57 1235325 47515 16286974750412618854 11358950535574418530 631 464 8976 5576 0 4.488 0 0
72 4 17.04 1242905 53135 3138761425033020665 114961049564902479 631 464 8976 5576 0 2.525 0 0
73 4 28.01 1254143 61605 14913235304463665770 609285012813139339 631 464 8976 5576 0 4.828 0 0
74 4 17.66 1263426 68457 851846227629613153 1185897615139418820 631 464 8976 5576 0 3.036 0 0
75 4 27.52 1278541 79497 3825098017132854088 6144331618734580369 631 464 8976 5576 0 5.171 0 0
76 4 17.45 1288414 86653 8411100623899643513 14156994106433804310 631 464 8976 5576 0 2.584 0 0
77 4 27.91 1298107 93716 17528431173165822909 2346899635139139121 631 464 8976 5576 0 5.070 0 0
78 4 17.08 1301626 96420 14339185059615272885 5634102017549224476 631 464 8976 5576 0 2.543 0 0
79 4 29.19 1305283 98813 1748784425123990308 3563171259108087285 631 464 8976 5576 0 5.810 0 0
80 4 17.78 1305034 98646 9037554132460224476 801449450350696778 631 464 8976 5576 0 2.612 0 0
81 4 30.33 1299125 94368 14267181739020269912 8940116447955516879 631 464 8976 5576 0 5.516 0 0
82 4 18.12 1293629 90629 12601759369522075662 15422012934235993595 631 464 8976 5576 0 2.597 0 0
83 4 28.68 1273606 75636 8871728564801408303 5325048778705524808 631 464 8976 5576 0 5.447 0 0
84 4 17.18 1263210 68015 16266060106864297188 17387501123378590229 631 464 8976 5576 0 2.550 0 0
85 4 27.52 1254476 61663 6923576752326387326 13058123043725465857 631 464 8976 5576 0 4.963 0 0
86 4 17.62 1251864 59757 15395788970666098961 9736213578867827749 631 464 8976 5576 0 2.570 0 0
87 4 26.77 1254656 61744 8926738998269040532 6365016091618088819 631 464 8976 5576 0 5.120 0 0
88 4 17.33 1257437 63862 17662511932534037038 11756965943083368713 631 464 8976 5576 0 2.678 0 0
89 4 27.70 1264996 69451 5463414838682661302 1758150827269246046 631 464 8976 5576 0 5.528 0 0
90 4 17.27 1269668 72967 2085550881032338020 7419734382783667551 631 464 8976 5576 0 2.585 0 0
91 4 27.32 1277360 78665 2133644438402166711 9968948366392861906 631 464 8976 5576 0 4.965 0 0
92 4 17.12 1285369 84594 4856794436194238636 2562881169388757172 631 464 8976 5576 0 2.539 0 0
93 4 26.59 1297191 93100 18099596570826875797 7211192643818598551 631 464 8976 5576 0 5.013 0 0
94 4 17.35 1305051 99106 15273749940687105297 14158552864392058799 631 464 8976 5576 0 2.750 0 0
95 4 29.95 1310239 102722 17983806314619216173 10266634296159151232 631 464 8976 5576 0 5.651 0 0
96 4 17.28 1311999 104044 7166090096797593993 9414145407585122063 631 464 8976 5576 0 2.609 0 0
97 4 30.03 1313840 105152 952336861902496750 18168093649860820864 631 464 8976 5576 0 5.305 0 0
98 4 17.70 1310237 102703 12285345497042150983 7625903030623653988 631 464 8976 5576 0 2.622 0 0
99 4 30.88 1301333 96031 15639115810097202433 13413730838831603356 631 464 8976 5576 0 6.399 0 0
100 4 17.28 1294228 90815 15335542683484434197 10602233377513612852 631 464 8976 5576 0 2.603 0 0
101 4 28.25 1280625 80789 10402672430245050088 9303453272974931198 631 464 8976 5576 0 5.339 0 0
102 4 16.96 1271509 74210 15039107865004705286 9305836604647383438 631 464 8976 5576 0 2.554 0 0
103 4 28.53 1261833 66998 589201167439415577 5148967941393310172 631 464 8976 5576 0 5.166 0 0
104 4 17.26 1262789 67859 6751606048903272889 782979932977970964 631 464 8976 5576 0 2.552 0 0
105 4 27.85 1265337 69784 8679365043924265968 16138679807353379487 631 464 8976 5576 0 5.243 0 0
106 4 17.70 1267262 70704 13283075906381623525 11813454859247089158 631 464 8976 5576 0 2.908 0 0
107 4 27.75 1271983 74227 12175164546012500057 2080349438677911432 631 464 8976 5576 0 5.033 0 0
108 4 17.23 1276029 77472 2075701810347011682 2540846750574012428 631 464 8976 5576 0 2.606 0 0
109 4 26.66 1289049 87260 5844311729742071278 10814827253282806568 631 464 8976 5576 0 5.004 0 0
110 4 18.53 1298269 93905 13686224716858484297 3023747184005012634 631 464 8976 5576 0 2.650 0 0
111 4 32.23 1305507 99212 4821866745723980896 9420284519518407882 631 464 8976 5576 0 6.048 0 0
112 4 22.62 1309548 102138 15735597090170903736 2758267820407632978 631 464 8976 5576 0 3.667 0 0
113 4 33.27 1309801 102401 6907287620394879737 15342469144609203728 631 464 8976 5576 0 6.316 0 0
114 4 22.59 1304587 98257 17957988123504393326 11431560408738677002 631 464 8976 5576 0 3.816 0 0
115 4 35.69 1290911 88234 11759490144862501108 15869162006507933268 631 464 8976 5576 0 7.791 0 0
116 4 18.98 1274297 76148 9987605520309127182 4565668628877011555 631 464 8976 5576 0 3.687 0 0
117 4 28.11 1258635 64772 5122211579682170868 440708654755800547 631 464 8976 5576 0 5.050 0 0
118 4 17.34 1258638 64798 2530375917380799937 10187835204444592493 631 464 8976 5576 0 2.873 0 0
119 4 27.46 1263800 68632 6558858772507355807 7054937555173816191 631 464 8976 5576 0 5.184 0 0
120 4 17.42 1268233 71790 17018733474303306568 1169477490096915695 631 464 8976 5576 0 2.583 0 0
121 4 27.75 1278674 79772 4125358510907923414 11436626021672092243 631 464 8976 5576 0 4.961 0 0
122 4 17.96 1288006 86455 1529674919501116180 8219189385725558052 631 464 8976 5576 0 3.117 0 0
123 4 28.07 1303841 97718 14022317097370814074 12044509580986899524 631 464 8976 5576 0 5.361 0 0
124 4 17.77 1308829 101496 6267406923487934104 9951866080875445240 631 464 8976 5576 0 2.631 0 0
125 4 29.27 1309709 102097 2145992693897356166 9568135883001789617 631 464 8976 5576 0 5.739 0 0
126 4 17.53 1305938 99300 17358555807783436974 11440617252223754996 631 464 8976 5576 0 2.610 0 0
127 4 28.88 1295413 91611 1192158525614489457 14540216119034062374 631 464 8976 5576 0 5.533 0 0
128 4 17.99 1285475 84723 5862991037473700744 5769925269175992270 631 464 8976 5576 0 2.575 0 0
129 4 29.02 1265254 69558 3253966215096397637 15643819497247192202 631 464 8976 5576 0 5.966 0 0
130 4 17.35 1259280 64899 12473209645226685341 12026735797337099512 631 464 8976 5576 0 2.822 0 0
131 4 26.76 1256034 62736 15650462367468283813 6629492142048059583 631 464 8976 5576 0 4.788 0 0
132 4 17.43 1259537 65483 11544062333154006600 6470482674536884717 631 464 8976 5576 0 2.520 0 0
133 4 29.36 1269674 73202 15436011957477749545 12423989941166833068 631 464 8976 5576 0 5.577 0 0
134 4 17.46 1271225 74179 2694861160300657772 4619015883564024975 631 464 8976 5576 0 2.586 0 0
135 4 28.92 1278841 79824 4912559765562926053 11872714547987841858 631 464 8976 5576 0 5.491 0 0
136 4 17.63 1287836 86255 1835032496770241441 7433711277702026341 631 464 8976 5576 0 2.570 0 0
137 4 28.95 1302534 97141 10348913533926769744 9993533080686683876 631 464 8976 5576 0 5.259 0 0
138 4 17.86 1308932 101470 18066869703437005391 1962786763980786182 631 464 8976 5576 0 2.648 0 0
139 4 29.92 1310275 102528 12390778848089595610 3661554823557295471 631 464 8976 5576 0 5.645 0 0
140 4 19.33 1305937 99584 18374063315909578201 1757460311181590644 631 464 8976 5576 0 2.768 0 0
141 4 29.37 1291359 88896 11298065379061097646 4972292951911405159 631 464 8976 5576 0 5.642 0 0
142 4 17.41 1279871 80165 9221949386528437900 2054580977251045511 631 464 8976 5576 0 2.596 0 0
143 4 26.66 1254850 61828 2314833250916774657 14266427510741303005 631 464 8976 5576 0 5.067 0 0
144 4 17.60 1246431 55637 13724944255671249867 331677466772246990 631 464 8976 5576 0 2.534 0 0
145 4 26.83 1248268 57020 18009493543522164799 14436925166150270859 631 464 8976 5576 0 5.155 0 0
146 4 17.16 1256593 63314 343388875426352446 13411523538112757128 631 464 8976 5576 0 2.701 0 0
147 4 27.70 1267974 71490 13026905839180684603 4858931294503735415 631 464 8976 5576 0 5.104 0 0
148 4 17.10 1278521 79410 355274129548707383 9305800065757279143 631 464 8976 5576 0 2.602 0 0
149 4 28.26 1293312 90327 270686844517192561 13154574896194420969 631 464 8976 5576 0 5.071 0 0
150 4 17.61 1302321 97069 3723107072320818652 2632780473720703012 631 464 8976 5576 0 2.669 0 0
151 4 28.84 1308324 101225 4114291192151892527 14606089405817019927 631 464 8976 5576 0 5.307 0 0
152 4 17.83 1305512 99337 13884899748350985102 13868108027097907083 631 464 8976 5576 0 2.766 0 0
153 4 29.54 1290838 88288 14692550422925019436 17403028048507888117 631 464 8976 5576 0 5.474 0 0
154 4 17.77 1277837 78825 7967990183424106359 15862643418192324916 631 464 8976 5576 0 2.609 0 0
155 4 29.00 1267463 71440 12724392091762453298 1935805736022631684 631 464 8976 5576 0 5.266 0 0
156 4 17.52 1266385 70559 6449772561557185599 8145363942973965822 631 464 8976 5576 0 2.583 0 0
157 4 29.25 1279176 79923 14240145610270133643 5855652931808944503 631 464 8976 5576 0 5.654 0 0
158 4 17.36 1285596 84711 14609729400944606323 9800342800815859036 631 464 8976 5576 0 2.597 0 0
159 4 28.85 1292481 89469 7407615178117420910 14607860814414119729 631 464 8976 5576 0 5.356 0 0
160 4 17.29 1295665 92030 3002068521433747004 17999792048945043309 631 464 8976 5576 0 2.602 0 0
161 4 29.42 1295635 91958 4309477938524006015 13468621801740910427 631 464 8976 5576 0 5.376 0 0
162 4 17.46 1295901 92239 13458142543082525562 8440199207209135131 631 464 8976 5576 0 2.601 0 0
163 4 28.07 1294680 91243 6787703432861791086 4902440301561486410 631 464 8976 5576 0 5.114 0 0
164 4 17.60 1294902 91174 9040695423886180103 13607854769813002618 631 464 8976 5576 0 2.928 0 0
165 4 29.08 1294583 91291 7887217956144068928 12935070190918858896 631 464 8976 5576 0 6.280 0 0
166 4 17.93 1294573 90939 762247580799220483 9035321994358972785 631 464 8976 5576 0 2.923 0 0
167 4 28.07 1294561 91461 7623365176233052183 1956583104017805003 631 464 8976 5576 0 5.740 0 0
168 4 17.42 1294583 91218 4128890790782935067 12016138729519230409 631 464 8976 5576 0 2.650 0 0
169 4 28.52 1294764 91208 6706326931998080153 3037810953270164700 631 464 8976 5576 0 5.898 0 0
170 4 17.33 1294767 91391 9691309520564875780 1748074658570783869 631 464 8976 5576 0 2.595 0 0
171 4 28.73 1294392 90726 3048613754128186257 3613095836073907701 631 464 8976 5576 0 5.403 0 0
172 4 17.17 1294662 91378 1312825518746275903 15312881026602787503 631 464 8976 5576 0 2.613 0 0
173 4 28.80 1294639 90897 16564458607038545305 10647439399647217140 631 464 8976 5576 0 6.002 0 0
174 4 17.17 1294712 91370 14893494419789531915 10187992084651252178 631 464 8976 5576 0 2.585 0 0
175 4 28.70 1294660 91234 497318535343530963 6943147512026295943 631 464 8976 5576 0 5.079 0 0
176 4 16.95 1294792 90994 1774145850201499191 3573075220050432653 631 464 8976 5576 0 2.579 0 0
177 4 28.45 1294761 91204 15321593548635035763 2118323530826763936 631 464 8976 5576 0 5.383 0 0
178 4 17.18 1294700 91421 11300000423987449271 4307781170450789035 631 464 8976 5576 0 2.641 0 0
179 4 66.87 1522179 274876 95267523882888755 7733486121888067984 631 464 9104 3735 0 17.299 5.34e+03 2.31e+04
180 4 52.13 1522011 275334 16918766044646535127 16933112969983612864 631 464 9104 3735 0 10.831 0 0
181 4 60.05 1521874 275531 1209235182558732877 13640320103941240467 631 464 9104 3735 0 13.437 0 0
182 4 48.83 1521466 274854 15372804677622914288 12816291579140755374 631 464 9104 3735 0 10.362 0 0
183 4 58.59 1521867 275196 12717431398024894508 13668128121479574205 631 464 9104 3735 0 12.991 0 0
184 4 48.17 1521244 274833 10478160379809214819 11635087784952091802 631 464 9104 3735 0 10.445 0 0
185 4 59.71 1521301 275263 3505348784281333170 17111301834841884339 631 464 9104 3735 0 12.888 0 0
186 4 49.02 1521773 275242 11017618907167462770 13811864149082910061 631 464 9104 3735 0 10.383 0 0
187 4 61.22 1521637 275273 2857870050602324344 13702443060598802384 631 464 9104 3735 0 12.856 0 0
188 4 49.38 1521644 274976 14236122711590085816 2410709765068443584 631 464 9104 3735 0 10.393 0 0
189 4 62.09 1521813 275458 16703358757226658016 5863694519272990914 631 464 9104 3735 0 12.816 0 0
190 4 49.61 1522229 275560 5417864225694087840 17443797792577102096 631 464 9104 3735 0 10.442 0 0
191 4 60.83 1521567 275530 10213875406997331473 11997966484688442076 631 464 9104 3735 0 12.996 0 0
192 4 49.80 1521444 274559 585506157911608352 15229374257169718489 631 464 9104 3735 0 10.335 0 0
193 4 61.53 1521371 274384 17196761629168312996 3863965583359856487 631 464 9104 3735 0 13.212 0 0
194 4 48.62 1521846 275570 3112468248266032694 11381011067603531347 631 464 9104 3735 0 10.278 0 0
195 4 61.07 1525809 277508 17995657155393526266 12504070708834602134 631 464 9104 3735 0 13.564 0 0
196 4 50.55 1534768 283915 5725909576625037135 5843480134177062069 631 464 9104 3735 0 10.812 0 0
197 4 65.85 1535292 282772 14159971336113288257 8728213079473693169 631 464 9104 3735 0 14.279 0 0
198 4 47.70 1526249 274566 12134704822971645393 14226930601560316760 631 464 9104 3735 0 9.996 0 0
199 4 62.82 1515117 265053 11023729608413768772 11585259361003294912 631 464 9104 3735 0 13.752 0 0
200 4 44.30 1512282 262714 7630133066009712084 10458861655084044447 631 464 9104 3735 0 9.201 0 0
201 4 62.48 1499814 252978 7383034599457159211 16105969491347726003 631 464 9104 3735 0 13.137 0 0
202 4 45.26 1483635 240956 3037298923851375417 15888244173014695621 631 464 9104 3735 0 8.829 0 0
203 4 64.40 1484889 242720 8507712389456636998 16194695426798567271 631 464 9104 3735 0 14.104 0 0
204 4 51.62 1498389 253720 6942879315450217108 15960432793859206180 631 464 9104 3735 0 10.674 0 0
205 4 65.92 1508625 260594 9965251363895746027 15543886974699926931 631 464 9104 3735 0 14.971 0 0
206 4 44.86 1503492 256359 8807019999177470055 6584775111165967628 631 464 9104 3735 0 9.162 0 0
207 4 60.39 1494633 249174 7673369642297681876 2933254085542907438 631 464 9104 3735 0 13.116 0 0
208 4 42.80 1465140 227310 6794504639998143354 16943206613423378383 631 464 9104 3735 0 8.508 0 0
209 4 56.84 1467458 230442 1044227628702191750 12804644125882926959 631 464 9104 3735 0 11.923 0 0
210 4 48.30 1491474 249756 1235590102544453695 9139596841066939881 631 464 9104 3735 0 9.837 0 0
211 4 61.26 1512229 266079 5304906708847360288 11099451064049363858 631 464 9104 3735 0 13.135 0 0
212 4 48.58 1531133 279162 9787866933036801758 4323800752837910134 631 464 9104 3735 0 10.218 0 0
213 4 63.48 1512636 264076 4837560901495086859 7958931640951846887 631 464 9104 3735 0 13.595 0 0
214 4 42.15 1456800 221261 175912073400998568 4323233829338406706 631 464 9104 3735 0 8.922 0 0
215 4 52.83 1435438 205547 16919610329975314866 11351435129338533785 631 464 9104 3735 0 11.048 0 0
216 4 44.08 1463514 228908 3623907603060275973 14689925958968869885 631 464 9104 3735 0 9.030 0 0
217 4 59.62 1498565 256214 12946773217530190758 9923365856452726861 631 464 9104 3735 0 12.812 0 0
218 4 48.44 1506578 262084 13487496036770677283 2058163214170340626 631 464 9104 3735 0 10.469 0 0
219 4 58.25 1483552 243512 4779785676684874869 17224346984940335483 631 464 9104 3735 0 12.750 0 0
220 4 44.03 1464043 228164 296896313306136000 11315236971436343538 631 464 9104 3735 0 8.992 0 0
221 4 56.08 1459687 225066 13586896531930908755 12159919710043230726 631 464 9104 3735 0 11.829 0 0
222 4 45.82 1480012 241993 2336228079013226263 2686458058167415549 631 464 9104 3735 0 9.627 0 0
223 4 61.22 1509387 264965 17858208593824667786 7469522502889272092 631 464 9104 3735 0 12.921 0 0
224 4 49.36 1522495 274173 16029405275543096244 11871104232461127503 631 464 9104 3735 0 10.348 0 0
225 4 60.36 1491182 249446 9490974746490862266 7727407935638243768 631 464 9104 3735 0 13.719 0 0
226 4 43.63 1458269 224105 11093520666061007048 8765480989293038484 631 464 9104 3735 0 9.326 0 0
227 4 54.09 1458329 224220 11471067769782694352 17587910531515308904 631 464 9104 3735 0 12.002 0 0
228 4 43.17 1458288 224309 15378453224158173933 1276741903725306136 631 464 9104 3735 0 9.074 0 0
229 4 56.24 1458560 224505 10220023300210464726 9411653159858600851 631 464 9104 3735 0 11.830 0 0
230 4 43.85 1458655 224551 4843353051840357301 9122872781937999081 631 464 9104 3735 0 9.165 0 0
231 4 54.69 1458097 224012 17738833045854982340 11514100228971313205 631 464 9104 3735 0 11.561 0 0
232 4 43.01 1458412 224521 8360231019995799151 11022928381545459302 631 464 9104 3735 0 8.952 0 0
233 4 56.03 1458271 224125 3637226196940870592 9678114710818660900 631 464 9104 3735 0 11.836 0 0
234 4 43.58 1458581 223882 3254939845741505545 961325998328272628 631 464 9104 3735 0 9.445 0 0
235 4 55.35 1459111 224959 8176056170519518444 6896537633386997585 631 464 9104 3735 0 11.785 0 0
236 4 43.02 1458392 224491 4783692840337918519 14298528147122320406 631 464 9104 3735 0 9.347 0 0
237 4 54.32 1458499 224097 13414758239061100993 6077855019368626848 631 464 9104 3735 0 12.054 0 0
238 4 43.58 1458594 224333 5909178608473633224 2143951078660366865 631 464 9104 3735 0 9.129 0 0
239 4 54.83 1458331 224130 13921284798337621456 17046503817089863661 631 464 9104 3735 0 11.970 0 0
240 4 43.28 1458366 224075 4478617839413622243 17746996015632643206 631 464 9104 3735 0 9.011 0 0
241 4 61.78 1458260 224446 10855440207816085778 10245848742109792336 631 464 9104 3735 0 13.181 0 0
